rect,N,seed,Shat
narrow,100,123456,0.9500000000
narrow,600,123456,0.9375000000
narrow,1100,123456,0.9590909091
narrow,1600,123456,0.9609375000
narrow,2100,123456,0.9714285714
narrow,2600,123456,0.9677884615
narrow,3100,123456,0.9673387097
narrow,3600,123456,0.9576388889
narrow,4100,123456,0.9570121951
narrow,4600,123456,0.9611413043
narrow,5100,123456,0.9590686275
narrow,5600,123456,0.9564732143
narrow,6100,123456,0.9543032787
narrow,6600,123456,0.9524621212
narrow,7100,123456,0.9529929577
narrow,7600,123456,0.9529605263
narrow,8100,123456,0.9520061728
narrow,8600,123456,0.9521802326
narrow,9100,123456,0.9509615385
narrow,9600,123456,0.9507812500
narrow,10100,123456,0.9491336634
narrow,10600,123456,0.9484669811
narrow,11100,123456,0.9478603604
narrow,11600,123456,0.9467672414
narrow,12100,123456,0.9478305785
narrow,12600,123456,0.9487103175
narrow,13100,123456,0.9483778626
narrow,13600,123456,0.9475183824
narrow,14100,123456,0.9450354610
narrow,14600,123456,0.9442636986
narrow,15100,123456,0.9440397351
narrow,15600,123456,0.9428685897
narrow,16100,123456,0.9426242236
narrow,16600,123456,0.9421686747
narrow,17100,123456,0.9420321637
narrow,17600,123456,0.9419034091
narrow,18100,123456,0.9412292818
narrow,18600,123456,0.9413978495
narrow,19100,123456,0.9411649215
narrow,19600,123456,0.9408163265
narrow,20100,123456,0.9405472637
narrow,20600,123456,0.9409587379
narrow,21100,123456,0.9404028436
narrow,21600,123456,0.9415509259
narrow,22100,123456,0.9419117647
narrow,22600,123456,0.9423119469
narrow,23100,123456,0.9415584416
narrow,23600,123456,0.9420550847
narrow,24100,123456,0.9422199170
narrow,24600,123456,0.9423780488
narrow,25100,123456,0.9429780876
narrow,25600,123456,0.9423828125
narrow,26100,123456,0.9426245211
narrow,26600,123456,0.9424342105
narrow,27100,123456,0.9425738007
narrow,27600,123456,0.9429800725
narrow,28100,123456,0.9434608541
narrow,28600,123456,0.9438811189
narrow,29100,123456,0.9435137457
narrow,29600,123456,0.9433277027
narrow,30100,123456,0.9433970100
narrow,30600,123456,0.9438316993
narrow,31100,123456,0.9444131833
narrow,31600,123456,0.9441455696
narrow,32100,123456,0.9443535826
narrow,32600,123456,0.9439800613
narrow,33100,123456,0.9442975831
narrow,33600,123456,0.9444196429
narrow,34100,123456,0.9448313783
